81.5500 / Dec 5, 2022 11:15:00
81.5450 / Dec 5, 2022 11:16:00
81.5650 / Dec 5, 2022 11:17:00
81.5450 / Dec 5, 2022 11:18:00
81.5450 / Dec 5, 2022 11:19:00
81.5450 / Dec 5, 2022 11:20:00
81.5550 / Dec 5, 2022 11:21:00
81.5550 / Dec 5, 2022 11:22:00
81.5675 / Dec 5, 2022 11:23:00
81.5675 / Dec 5, 2022 11:24:00
81.5625 / Dec 5, 2022 11:25:00
81.5600 / Dec 5, 2022 11:26:00
81.5575 / Dec 5, 2022 11:27:00
81.5550 / Dec 5, 2022 11:28:00
81.5525 / Dec 5, 2022 11:29:00
-------------------------------------------------------------------------------------------------------------
81.5525 / Dec 5, 2022 11:30:00
81.5425 / Dec 5, 2022 11:31:00
81.5300 / Dec 5, 2022 11:32:00
81.5275 / Dec 5, 2022 11:33:00
81.5275 / Dec 5, 2022 11:34:00
81.5300 / Dec 5, 2022 11:35:00
81.5275 / Dec 5, 2022 11:36:00
81.5325 / Dec 5, 2022 11:37:00
81.5325 / Dec 5, 2022 11:38:00
