81.8525 / Jan 17, 2023 11:15:00
81.8625 / Jan 17, 2023 11:16:00
81.8550 / Jan 17, 2023 11:17:00
81.8600 / Jan 17, 2023 11:18:00
81.8600 / Jan 17, 2023 11:19:00
81.8650 / Jan 17, 2023 11:20:00
81.8550 / Jan 17, 2023 11:21:00
81.8550 / Jan 17, 2023 11:22:00
81.8550 / Jan 17, 2023 11:23:00
81.8600 / Jan 17, 2023 11:24:00
81.8550 / Jan 17, 2023 11:25:00
81.8500 / Jan 17, 2023 11:26:00
81.8400 / Jan 17, 2023 11:27:00
81.8250 / Jan 17, 2023 11:28:00
81.7950 / Jan 17, 2023 11:29:00
-------------------------------------------------------------------------------------------------------------
81.7900 / Jan 17, 2023 11:30:00
81.7900 / Jan 17, 2023 11:31:00
