81.5850 / Jan 27, 2023 11:15:00
81.5600 / Jan 27, 2023 11:16:00
81.5475 / Jan 27, 2023 11:17:00
81.5375 / Jan 27, 2023 11:18:00
81.5400 / Jan 27, 2023 11:19:00
81.5450 / Jan 27, 2023 11:20:00
81.5450 / Jan 27, 2023 11:21:00
81.5475 / Jan 27, 2023 11:22:00
81.5475 / Jan 27, 2023 11:23:00
81.5525 / Jan 27, 2023 11:24:00
81.5500 / Jan 27, 2023 11:25:00
81.5450 / Jan 27, 2023 11:26:00
81.5500 / Jan 27, 2023 11:27:00
81.5500 / Jan 27, 2023 11:28:00
81.5500 / Jan 27, 2023 11:29:00
-------------------------------------------------------------------------------------------------------------
81.5500 / Jan 27, 2023 11:30:00
81.5400 / Jan 27, 2023 11:31:00
81.5275 / Jan 27, 2023 11:32:00
81.5275 / Jan 27, 2023 11:33:00
