82.1350 / Apr 21, 2023 11:32:00
82.1375 / Apr 21, 2023 11:33:00
82.1400 / Apr 21, 2023 11:34:00
82.1450 / Apr 21, 2023 11:35:00
82.1400 / Apr 21, 2023 11:36:00
82.1425 / Apr 21, 2023 11:37:00
82.1450 / Apr 21, 2023 11:38:00
82.1475 / Apr 21, 2023 11:39:00
82.1450 / Apr 21, 2023 11:40:00
82.1525 / Apr 21, 2023 11:41:00
82.1575 / Apr 21, 2023 11:42:00
82.1550 / Apr 21, 2023 11:43:00
82.1550 / Apr 21, 2023 11:44:00
82.1550 / Apr 21, 2023 11:45:00
82.1550 / Apr 21, 2023 11:46:00
82.1550 / Apr 21, 2023 11:47:00
82.1550 / Apr 21, 2023 11:48:00
82.1575 / Apr 21, 2023 11:49:00
82.1575 / Apr 21, 2023 11:50:00
82.1550 / Apr 21, 2023 11:51:00
82.1525 / Apr 21, 2023 11:52:00
82.1550 / Apr 21, 2023 11:53:00
82.1525 / Apr 21, 2023 11:54:00
82.1525 / Apr 21, 2023 11:55:00
82.1525 / Apr 21, 2023 11:56:00
82.1550 / Apr 21, 2023 11:57:00
82.1525 / Apr 21, 2023 11:58:00
82.1600 / Apr 21, 2023 11:59:00
82.1600 / Apr 21, 2023 12:00:00
82.1575 / Apr 21, 2023 12:01:00
82.1600 / Apr 21, 2023 12:02:00
82.1600 / Apr 21, 2023 12:03:00
82.1575 / Apr 21, 2023 12:04:00
82.1600 / Apr 21, 2023 12:05:00
82.1600 / Apr 21, 2023 12:06:00
82.1650 / Apr 21, 2023 12:07:00
82.1675 / Apr 21, 2023 12:08:00
