82.2000 / May 16, 2023 11:15:00
82.1950 / May 16, 2023 11:16:00
82.1975 / May 16, 2023 11:17:00
82.1975 / May 16, 2023 11:19:00
82.2050 / May 16, 2023 11:20:00
82.2050 / May 16, 2023 11:21:00
82.2050 / May 16, 2023 11:22:00
82.2050 / May 16, 2023 11:23:00
82.2025 / May 16, 2023 11:24:00
82.2025 / May 16, 2023 11:26:00
82.2075 / May 16, 2023 11:28:00
-------------------------------------------------------------------------------------------------------------
82.2100 / May 16, 2023 11:30:00
82.2175 / May 16, 2023 11:32:00
82.2300 / May 16, 2023 11:33:00
82.2400 / May 16, 2023 11:34:00
