82.7650 / May 19, 2023 11:14:00
82.7575 / May 19, 2023 11:15:00
82.7675 / May 19, 2023 11:16:00
82.7525 / May 19, 2023 11:17:00
82.7450 / May 19, 2023 11:18:00
82.7575 / May 19, 2023 11:19:00
82.7550 / May 19, 2023 11:20:00
82.7500 / May 19, 2023 11:21:00
82.7500 / May 19, 2023 11:22:00
82.7350 / May 19, 2023 11:23:00
82.7225 / May 19, 2023 11:24:00
82.7300 / May 19, 2023 11:25:00
82.7300 / May 19, 2023 11:26:00
82.7375 / May 19, 2023 11:27:00
82.7425 / May 19, 2023 11:28:00
82.7400 / May 19, 2023 11:29:00
