82.5000 / Jun 7, 2023 11:14:00
82.5050 / Jun 7, 2023 11:15:00
82.5100 / Jun 7, 2023 11:16:00
82.5100 / Jun 7, 2023 11:17:00
82.5100 / Jun 7, 2023 11:18:00
82.5050 / Jun 7, 2023 11:19:00
82.5050 / Jun 7, 2023 11:20:00
82.5100 / Jun 7, 2023 11:21:00
82.5125 / Jun 7, 2023 11:22:00
82.5125 / Jun 7, 2023 11:23:00
82.5125 / Jun 7, 2023 11:24:00
82.5125 / Jun 7, 2023 11:25:00
82.5025 / Jun 7, 2023 11:26:00
82.4875 / Jun 7, 2023 11:27:00
82.4775 / Jun 7, 2023 11:28:00
82.4900 / Jun 7, 2023 11:29:00
-------------------------------------------------------------------------------------------------------------
82.5025 / Jun 7, 2023 11:30:00
