83.1725 / Sep 18, 2023 11:15:00
83.1750 / Sep 18, 2023 11:16:00
83.1750 / Sep 18, 2023 11:17:00
83.1750 / Sep 18, 2023 11:18:00
83.1800 / Sep 18, 2023 11:19:00
83.1850 / Sep 18, 2023 11:20:00
83.1875 / Sep 18, 2023 11:21:00
83.1875 / Sep 18, 2023 11:22:00
83.1800 / Sep 18, 2023 11:23:00
83.1800 / Sep 18, 2023 11:24:00
83.1800 / Sep 18, 2023 11:25:00
83.1825 / Sep 18, 2023 11:26:00
83.1825 / Sep 18, 2023 11:27:00
83.1775 / Sep 18, 2023 11:28:00
83.1800 / Sep 18, 2023 11:29:00
-------------------------------------------------------------------------------------------------------------
83.1800 / Sep 18, 2023 11:30:00
83.1900 / Sep 18, 2023 11:31:00
83.1900 / Sep 18, 2023 11:32:00
83.1900 / Sep 18, 2023 11:33:00
83.1900 / Sep 18, 2023 11:34:00
83.2100 / Sep 18, 2023 11:35:00
83.2150 / Sep 18, 2023 11:36:00
83.2100 / Sep 18, 2023 11:37:00
83.2150 / Sep 18, 2023 11:38:00
83.2150 / Sep 18, 2023 11:39:00
83.2300 / Sep 18, 2023 11:40:00
83.2300 / Sep 18, 2023 11:41:00
83.2150 / Sep 18, 2023 11:42:00
83.2075 / Sep 18, 2023 11:43:00
83.2050 / Sep 18, 2023 11:44:00
83.2100 / Sep 18, 2023 11:45:00
83.2100 / Sep 18, 2023 11:46:00
